,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000132623,1012.320677,1088.042444,1463.684358,1205.002472,624.2647753,653.0989488,838.7857813,825.4759635
ENSG00000132635,857.508079,785.1704707,647.0505654,932.3536766,384.6479929,478.2254598,543.2705061,552.184057
ENSG00000132639,3.842865911,0.956941463,1.646439098,1.753368456,118.5472503,96.3588613,140.2951307,152.3266364
ENSG00000132640,491.8868366,425.3604805,410.5121483,411.6032451,1606.693583,1548.879474,1585.036477,1552.387633
ENSG00000132646,3683.661466,3932.072473,5064.995477,3999.433449,7778.717443,6841.479152,7122.216635,6639.649269
ENSG00000132661,182.2616404,197.1299415,202.512009,207.7741621,435.0936313,381.8665985,599.9855589,465.9402996
ENSG00000132664,781.7487225,763.6392878,794.6812711,680.306961,769.2959858,795.8528174,746.2506952,713.4710838
ENSG00000132669,176.2228511,147.3689854,213.4882697,216.1026622,2678.6634,2376.851912,1540.261435,1610.63017
ENSG00000132670,3044.098782,2976.566422,3174.883393,3001.328455,3977.638589,4089.898335,3501.408262,3505.752735
ENSG00000132676,1924.726841,1960.773059,2759.980741,2695.365659,1606.693583,1620.256409,1901.446771,1760.716709
ENSG00000132677,17.56738702,18.66035854,3.292878195,11.83523708,0,3.568846715,8.955008342,4.480195189
ENSG00000132680,2253.566366,2199.529954,1829.193837,1652.111428,2118.716813,1930.746073,1710.406593,1874.961686
ENSG00000132681,5.489808444,2.392353659,3.292878195,0.438342114,0,0,0,0
ENSG00000132688,65.32872049,50.71789756,23.5989604,16.65700033,3425.258848,3333.302832,4050.648773,3762.24391
ENSG00000132692,4.9408276,5.741648781,0.548813033,5.260105369,66.84047089,89.22116787,122.385114,122.0853189
ENSG00000132694,1243.990594,1237.325312,1120.127399,1184.400392,1595.343315,1645.238336,1495.486393,1541.187145
ENSG00000132698,994.2043093,1049.764785,1169.520572,1331.683342,6.305704801,10.70654014,2.985002781,2.240097594
ENSG00000132702,2.195923378,1.913882927,2.19525213,3.506736912,0,0,0,0
ENSG00000132716,837.7447686,852.6348439,708.517625,691.2655139,1041.702433,1131.324409,946.2458815,1104.368114
